,termo dwc,Vocabulário Controlado,Definição/Definition/Definición,Exemplo/Example/Ejemplo
,,En: Environmental,"En: Taxon used to maintain ecosystem balance, in reforestation, environmental recovery, and remediation activities following ecological impacts. It was separated from Social Technology due to its importance for communities.","En: Planting for reforestation, slope stabilization, ground cover, pollinator attraction, shade, erosion control, water purifiers, bioindicators."
,,Es: Ambiental,"Es: Taxón usado para mantener el equilibrio de los ecosistemas, en actividades de reforestación, recuperación y remediación ambiental tras impactos ecológicos. Se separó de Tecnología Social debido a su importancia para las comunidades.","Es: Plantación para reforestación, estabilización de laderas, cobertura del suelo, atracción de polinizadores, sombra, control de erosión, purificadores de agua, bioindicadores."
6,usedTo,Pt: Fonte genética,"Pt: Táxon que possui características ou qualidades importantes, como resistência a doenças, tolerância a temperaturas extremas, etc., cujo valor é aproveitado para projetos de melhoramento genético.","Pt: Sementes, mudas, variedades locais, germoplasma, bancos de genes, material para melhoramento genético ou biotecnologia."
,,En: Genetic source,"En: Taxon that possesses important traits or qualities, such as disease resistance, tolerance to extreme temperatures, etc., whose value is utilized for genetic improvement projects.","En: Seeds, seedlings, local varieties, germplasm, gene banks, material for genetic improvement or biotechnology."
,,Es: Fuente genética,"Es: Taxón que posee características o cualidades importantes, como resistencia a enfermedades, tolerancia a temperaturas extremas, etc., cuyo valor se aprovecha en proyectos de mejoramiento genético.","Es: Semillas, plántulas, variedades locales, germoplasma, bancos de genes, material para mejoramiento genético o biotecnología."
7,usedTo,Pt: Ornamental,"Pt: Táxon usadas com finalidade estética para decoração de ambientes, paisagismo e jardinagem.","Pt: Flores, folhagens, arbustos, árvores ornamentais, trepadeiras, plantas de interior, bordaduras, jardins verticais."
,,En: Ornamental,"En: Taxon used for aesthetic purposes in interior decoration, landscaping, and gardening.","En: Flowers, foliage, shrubs, ornamental trees, climbers, indoor plants, borders, vertical gardens."
,,Es: Ornamental,"Es: Taxón usado con fines estéticos para la decoración de ambientes, paisajismo y jardinería.","Es: Flores, follajes, arbustos, árboles ornamentales, trepadoras, plantas de interior, borduras, jardines verticales."
8,usedTo,Pt: Tóxico,"Pt: Táxon para produzir compostos tóxicos, que provocam envenenamento, irritação, alergia, formigamento ou efeito repelente.","Pt: Veneno, resinas irritantes, alcaloides, extratos repelentes, toxinas naturais, plantas de defesa."
,,En: Toxic,"En: Taxon used to produce toxic compounds that cause poisoning, irritation, allergy, tingling, or repellent effects.","En: Poisons, irritating resins, alkaloids, repellent extracts, natural toxins, defense plants."
,,Es: Tóxico,"Es: Taxón usado para producir compuestos tóxicos que provocan envenenamiento, irritación, alergia, cosquilleo o efecto repelente.","Es: Venenos, resinas irritantes, alcaloides, extractos repelentes, toxinas naturales, plantas de defensa."
9,usedTo,Pt: Espiritual,"Pt: Táxon usado para práticas de cura espiritual, tratamento de doenças culturais, assim como rituais, cerimônias e usos simbólicos, com significado cultural. ","Pt: Incensos, defumações, oferendas, banhos espirituais, plantas sagradas, elementos de rituais simbólicos."
,,En: Spiritual,"En: Taxon used for spiritual healing practices, treatment of culturally recognized illnesses, as well as rituals, ceremonies, and symbolic uses, with cultural significance.","En: Incense, smudging, offerings, spiritual baths, sacred plants, elements of symbolic rituals."
,,Es: Espiritual,"Es: Taxón usado para prácticas de curación espiritual, tratamiento de enfermedades culturales, así como rituales, ceremonias y usos simbólicos, con significado cultural.","Es: Incienso, sahumerios, ofrendas, baños espirituales, plantas sagradas, elementos de rituales simbólicos."
10,usedTo,Pt: Lúdico,Pt: Táxon usado para atividades com propósito recreativo ou educativo.,"Pt: Brinquedos artesanais, jogos, brincadeiras, festividades, fumo, mastigatórios, demonstrações culturais, experiências sensoriais."
,,En: Playful,En: Taxon used for activities with recreational or educational purposes.,"En: Handcrafted toys, games, play activities, festivities, smoking, masticatories, cultural demonstrations, sensory experiences."
,,Es: Lúdico,Es: Taxón usado para actividades con fines recreativos o educativos.,"Es: Juguetes artesanales, juegos, actividades lúdicas, festividades, tabaco, masticables, demostraciones culturales, experiencias sensoriales."
11,usedTo,Pt: Cuidados pessoais,"Pt: Táxon usados na produção de cosméticos ou em práticas que promovam higiene, bem-estar ou com finalidade estética.","Pt: Sabonetes, shampoos, cremes, óleos corporais, escovas, loções, produtos de banho, pomadas cosméticas."
,,En: Personal care,"En: Taxon used in the production of cosmetics or in practices that promote hygiene, well-being, or aesthetic purposes.","En: Soaps, shampoos, creams, body oils, brushes, lotions, bath products, cosmetic ointments."
,,Es: Cuidados personales,"Es: Taxón usado en la producción de cosméticos o en prácticas que promuevan higiene, bienestar o con fines estéticos.","Es: Jabones, champús, cremas, aceites corporales, cepillos, lociones, productos de baño, ungüentos cosméticos."
12,usedTo,Pt: Químico,"Pt: Táxon usado para produzir compostos químicos que servem como matéria-prima. Inclui plantas utilizadas para extração de óleos essenciais, corantes, resinas, gomas, alcaloides e outros compostos.","Pt: Óleos essenciais para perfumes, corantes naturais, resinas para vernizes, gomas para colas, compostos para remédios tradicionais ou pomadas artesanais."
,,En: Chemical,"En: Taxon used to produce chemical compounds that serve as raw materials. Includes plants used for the extraction of essential oils, dyes, resins, gums, alkaloids, and other compounds.","En: Essential oils for perfumes, natural dyes, resins for varnishes, gums for adhesives, compounds for traditional medicines or artisanal ointments."
,,Es: Químico,"Es: Taxón utilizado para producir compuestos químicos que sirven como materia prima. Incluye plantas utilizadas para la extracción de aceites esenciales, colorantes, resinas, gomas, alcaloides y otros compuestos.","Es: Aceites esenciales para perfumes, colorantes naturales, resinas para barnices, gomas para adhesivos, compuestos para medicamentos tradicionales o ungüentos artesanales."
13,usedTo,Pt: Outros,Pt: Usos não contemplados nas categorias establecidas.,Pt: --
,,En: Other,En: Uses not covered by the other established categories.,En: --
,,Es: Otros,Es: Usos no contemplados en las demás categorías establecidas.,Es: --
